日期,订单数,销售额,客单价,新客占比,退货率,折扣率
2026-04-06,165,23895,183.0,0.21,0.034,0.2
2026-04-07,155,28070,172.0,0.19,0.108,0.24
2026-04-08,144,28787,225.0,0.2,0.222,0.19
2026-04-09,127,22347,100.0,0.2,0.163,0.11
2026-04-10,128,22120,213.0,0.44,0.001,0.07
2026-04-11,138,23624,217.0,0.19,0.07,0.21
2026-04-12,151,13490,118.0,0.21,0.109,0.18
2026-04-13,126,17424,170.0,0.3,0.189,0.06
2026-04-14,118,31834,169.0,0.16,0.161,0.12
2026-04-15,140,33224,138.0,0.22,0.007,0.24
2026-04-16,110,23754,157.0,0.25,0.113,0.15
2026-04-17,146,27882,147.0,0.16,0.225,0.14
2026-04-18,123,26556,233.0,0.47,0.094,0.14
2026-04-19,105,40394,208.0,0.19,0.01,0.09
2026-04-20,136,30597,218.0,0.23,0.165,0.12
2026-04-21,127,24360,202.0,0.08,0.143,0.12
2026-04-22,115,20222,146.0,0.33,0.18,0.06
2026-04-23,132,16967,164.0,0.37,0.119,0.2
2026-04-24,121,26017,195.0,0.07,0.134,0.13
2026-04-25,134,21218,143.0,0.3,0.042,0.21
2026-04-26,130,17888,201.0,0.39,0.071,0.22
2026-04-27,143,21767,173.0,0.34,0.179,0.09
2026-04-28,122,19592,169.0,0.12,0.087,0.18
2026-04-29,132,33435,201.0,0.16,0.038,0.14
2026-04-30,130,29408,193.0,0.25,0.04,0.23
2026-05-01,125,24960,169.0,0.24,0.307,0.09
2026-05-02,98,32399,215.0,0.32,0.195,0.19
2026-05-03,152,25386,148.0,0.44,0.028,0.17
2026-05-04,126,20693,198.0,0.42,0.028,0.11
2026-05-05,155,32615,198.0,0.3,0.009,0.08
2026-05-06,152,27694,171.0,0.22,0.092,0.18
2026-05-07,124,19813,190.0,0.53,0.29,0.2
2026-05-08,154,24048,142.0,0.48,0.015,0.11
2026-05-09,156,20621,208.0,0.33,0.076,0.18
2026-05-10,170,18086,174.0,0.31,0.287,0.13
2026-05-11,160,29630,164.0,0.17,0.058,0.19
2026-05-12,179,34547,211.0,0.43,0.358,0.09
2026-05-13,164,18007,159.0,0.54,0.074,0.23
2026-05-14,156,27814,138.0,0.16,0.194,0.11
2026-05-15,174,21746,133.0,0.18,0.1,0.12
2026-05-16,180,22564,198.0,0.24,0.017,0.06
2026-05-17,177,22038,142.0,0.22,0.088,0.07
2026-05-18,174,20680,233.0,0.29,0.151,0.15
2026-05-19,173,25242,118.0,0.28,0.008,0.1
2026-05-20,150,20845,231.0,0.16,0.122,0.22
2026-05-21,194,26352,186.0,0.55,0.088,0.05
2026-05-22,178,24748,177.0,0.17,0.104,0.13
2026-05-23,179,23805,164.0,0.29,0.208,0.12
2026-05-24,166,20462,192.0,0.2,0.002,0.05
2026-05-25,174,22116,179.0,0.48,0.018,0.07
2026-05-26,183,28776,213.0,0.26,0.018,0.13
2026-05-27,171,27504,183.0,0.32,0.035,0.15
2026-05-28,175,20112,185.0,0.57,0.083,0.13
2026-05-29,179,25496,169.0,0.25,0.153,0.16
2026-05-30,148,28756,178.0,0.34,0.092,0.17
2026-05-31,194,16652,189.0,0.19,0.285,0.05
2026-06-01,163,27716,129.0,0.29,0.064,0.14
2026-06-02,162,21686,140.0,0.39,0.168,0.24
2026-06-03,186,27852,202.0,0.17,0.039,0.15
2026-06-04,147,21183,185.0,0.26,0.265,0.19
2026-06-05,137,15975,174.0,0.35,0.122,0.11
2026-06-06,134,16862,181.0,0.12,0.048,0.2
2026-06-07,127,25240,190.0,0.38,0.144,0.2
2026-06-08,161,26298,164.0,0.33,0.028,0.15
2026-06-09,156,20478,157.0,0.23,0.083,0.25
2026-06-10,124,28192,186.0,0.31,0.078,0.08
2026-06-11,143,16692,151.0,0.56,0.003,0.05
2026-06-12,144,24669,192.0,0.14,0.038,0.2
2026-06-13,125,18944,129.0,0.29,0.016,0.21
2026-06-14,139,21740,211.0,0.48,0.039,0.07
2026-06-15,123,25236,194.0,0.19,0.263,0.1
2026-06-16,120,20697,188.0,0.24,0.4,0.05
2026-06-17,139,23077,209.0,0.45,0.135,0.11
2026-06-18,132,30031,230.0,0.3,0.054,0.2
2026-06-19,104,22115,210.0,0.23,0.058,0.15
2026-06-20,121,29178,125.0,0.15,0.052,0.12
2026-06-21,113,19351,142.0,0.42,0.114,0.12
2026-06-22,116,27649,161.0,0.6,0.096,0.05
2026-06-23,139,32207,181.0,0.32,0.104,0.11
2026-06-24,148,12641,196.0,0.41,0.348,0.18
2026-06-25,125,21015,158.0,0.23,0.077,0.24
2026-06-26,113,27885,186.0,0.19,0.055,0.22
2026-06-27,128,23984,157.0,0.14,0.035,0.05
2026-06-28,134,26855,162.0,0.37,0.202,0.23
2026-06-29,105,21980,138.0,0.49,0.009,0.21
2026-06-30,102,25432,152.0,0.26,0.019,0.21
2026-07-01,127,24221,139.0,0.2,0.2,0.14
2026-07-02,126,30838,151.0,0.16,0.067,0.13
2026-07-03,119,26272,212.0,0.43,0.083,0.11
2026-07-04,140,26688,152.0,0.31,0.031,0.06
2026-07-05,118,22940,259.0,0.32,0.097,0.1
2026-07-06,120,22561,195.0,0.28,0.064,0.1
2026-07-07,153,22837,186.0,0.45,0.1,0.15
2026-07-08,128,26972,154.0,0.24,0.017,0.2
2026-07-09,146,22895,201.0,0.29,0.008,0.14
2026-07-10,149,26448,163.0,0.44,0.033,0.06
2026-07-11,168,35377,184.0,0.4,0.002,0.24
2026-07-12,157,29355,257.0,0.44,0.09,0.24
2026-07-13,145,23369,177.0,0.16,0.028,0.21
2026-07-14,139,31006,214.0,0.35,0.206,0.25
2026-07-15,151,22959,159.0,0.38,0.001,0.16
2026-07-16,179,14809,179.0,0.33,0.136,0.24
2026-07-17,205,19959,233.0,0.45,0.105,0.07
2026-07-18,166,15646,161.0,0.5,0.119,0.12
2026-07-19,154,23242,234.0,0.16,0.133,0.1
